-831.14;127.36;-831.24;126.61
-835.33;128.00;-835.43;127.25
-839.54;128.65;-839.64;127.89
-843.77;129.30;-843.87;128.54
-848.03;129.95;-848.13;129.19
-852.31;130.60;-852.41;129.84
-856.61;131.26;-856.71;130.49
-860.94;131.93;-861.04;131.15
-865.29;132.59;-865.39;131.81
-869.66;133.26;-869.76;132.48
-874.06;133.94;-874.16;133.15
-878.48;134.61;-878.58;133.82
-882.93;135.30;-883.02;134.50
-887.39;135.98;-887.49;135.18
-891.89;136.67;-891.98;135.87
-896.40;137.36;-896.50;136.55
-900.94;138.06;-901.04;137.25
-905.51;138.76;-905.61;137.94
-910.10;139.46;-910.20;138.64
-914.71;140.17;-914.81;139.34
-919.35;140.88;-919.45;140.05
-924.01;141.59;-924.11;140.76
-928.70;142.31;-928.79;141.47
-933.41;143.03;-933.50;142.19
-938.14;143.76;-938.24;142.91
-942.90;144.49;-943.00;143.64
-947.69;145.22;-947.78;144.37
-952.49;145.96;-952.59;145.10
-957.33;146.70;-957.43;145.83
-962.19;147.44;-962.28;146.57
-967.07;148.19;-967.17;147.32
-971.98;148.94;-972.08;148.07
-976.91;149.70;-977.01;148.82
-981.87;150.46;-981.97;149.57
-986.86;151.22;-986.95;150.33
-991.87;151.99;-991.96;151.09
-996.90;152.76;-997.00;151.86
-1001.96;153.54;-1002.06;152.63
-1007.05;154.32;-1007.14;153.41
-1012.16;155.10;-1012.26;154.19
-1017.30;155.89;-1017.39;154.97
-1022.46;156.68;-1022.55;155.75
-1027.65;157.47;-1027.74;156.54
-1032.86;158.27;-1032.96;157.34
-1038.10;159.07;-1038.20;158.14
-1043.37;159.88;-1043.46;158.94
-1048.66;160.69;-1048.75;159.74
-1053.97;161.51;-1054.07;160.55
-1059.32;162.32;-1059.42;161.37
-1064.69;163.15;-1064.79;162.19
-1070.08;163.97;-1070.18;163.01
-1075.51;164.81;-1075.60;163.83
-1080.96;165.64;-1081.05;164.66
-1086.43;166.48;-1086.53;165.50
-1091.93;167.32;-1092.03;166.34
-1097.46;168.17;-1097.56;167.18
-1103.02;169.02;-1103.11;168.02
-1108.60;169.88;-1108.69;168.88
-1114.21;170.74;-1114.30;169.73
-1119.84;171.60;-1119.94;170.59
-1125.50;172.47;-1125.60;171.45
-1131.19;173.34;-1131.29;172.32
-1136.91;174.21;-1137.00;173.19
-1142.65;175.09;-1142.75;174.06
-1148.42;175.98;-1148.52;174.94
-1154.22;176.87;-1154.31;175.82
-1160.04;177.76;-1160.14;176.71
-1165.90;178.66;-1165.99;177.60
-1171.77;179.56;-1171.87;178.50
-1177.68;180.46;-1177.78;179.40
-1183.62;181.37;-1183.71;180.30
-1189.58;182.29;-1189.67;181.21
-1195.57;183.20;-1195.66;182.12
-1201.58;184.13;-1201.68;183.04
-1207.63;185.05;-1207.72;183.96
-1213.70;185.98;-1213.80;184.88
-1219.80;186.92;-1219.90;185.81
-1225.93;187.86;-1226.03;186.75
-1232.09;188.80;-1232.18;187.68
-1238.27;189.75;-1238.37;188.63
-1244.48;190.70;-1244.58;189.57
-1250.73;191.66;-1250.82;190.52
-1256.99;192.62;-1257.09;191.48
-1263.29;193.58;-1263.39;192.44
-1269.62;194.55;-1269.71;193.40
-1275.97;195.52;-1276.07;194.37
-1282.36;196.50;-1282.45;195.34
-1288.77;197.48;-1288.86;196.32
-1295.21;198.47;-1295.30;197.30
-1301.68;199.46;-1301.77;198.28
-1308.18;200.46;-1308.27;199.27
-1314.70;201.46;-1314.80;200.27
-1321.26;202.46;-1321.35;201.27
-1327.84;203.47;-1327.94;202.27
-1334.46;204.49;-1334.55;203.28
-1341.10;205.50;-1341.19;204.29
-1347.77;206.53;-1347.87;205.31
-1354.47;207.55;-1354.57;206.33
-1361.20;208.58;-1361.30;207.35
-1367.96;209.62;-1368.06;208.38
-1374.75;210.66;-1374.85;209.42
-1381.57;211.71;-1381.67;210.45
-1388.42;212.75;-1388.51;211.50
-1395.30;213.81;-1395.39;212.54
-1402.20;214.87;-1402.30;213.60
-1409.14;215.93;-1409.24;214.65
-1416.11;217.00;-1416.20;215.71
-1423.11;218.07;-1423.20;216.78
-1430.13;219.15;-1430.23;217.85
-1437.19;220.23;-1437.29;218.93
-1444.28;221.31;-1444.37;220.01
-1451.40;222.40;-1451.49;221.09
-1458.54;223.50;-1458.64;222.18
-1465.72;224.60;-1465.81;223.27
-1472.93;225.70;-1473.02;224.37
-1480.17;226.81;-1480.26;225.47
-1487.44;227.93;-1487.53;226.58
-1494.74;229.05;-1494.83;227.69
-1502.07;230.17;-1502.16;228.81
-1509.43;231.30;-1509.52;229.93
-1516.82;232.43;-1516.91;231.05
-1524.24;233.57;-1524.33;232.18
-1531.69;234.71;-1531.79;233.32
-1539.16;233.46;-1539.26;232.07
-1546.64;229.82;-1546.74;228.42
-1554.14;223.76;-1554.24;222.35
-1561.66;215.26;-1561.75;213.85
-1569.19;204.33;-1569.28;202.90
-1576.73;190.93;-1576.82;189.50
-1584.29;175.06;-1584.38;173.62
-1591.86;156.70;-1591.96;155.25
-1599.45;135.83;-1599.54;134.38
-1607.06;112.45;-1607.15;110.99
-1614.67;86.53;-1614.77;85.07
-1622.31;58.07;-1622.40;56.60
-1629.96;27.04;-1630.05;25.56
-1637.62;-6.57;-1637.72;-8.05
-1645.30;-42.77;-1645.40;-44.26
-1653.00;-81.57;-1653.09;-83.07
